"file","bytes","md5"
"CAGED/2013/CAGEDEST_082013.7z",33519842,"b1ccdf8b04d9366491816b9ad34d5653"
"CAGED/2013/CAGEDEST_092013.7z",31674305,"eda013cc83003efbda00351cf761f996"
"CAGED/2013/CAGEDEST_112013.7z",29844199,"9196a511082190a1230d767fdd4a522d"
"CAGED/2013/CAGEDEST_122013.7z",24692866,"5ff2a1ee1d539f61acf95c2f54909016"
"CAGED/2014/CAGEDEST_012014.7z",32850849,"78da1e8f4b65c57a739623425cf989b1"
"CAGED/2014/CAGEDEST_022014.7z",34688425,"d45d7fbbe6a4e396bb20b537d0187794"
"CAGED/2014/CAGEDEST_042014.7z",31052418,"503fc561664714458a0e09679b285232"
"CAGED/2014/CAGEDEST_062014.7z",30823585,"d1e1b7e11d715c598dec1d8985dc0967"
"CAGED/2014/CAGEDEST_072014.7z",32778389,"658241533105cdcd17b77987dd95b713"
"CAGED/2014/CAGEDEST_082014.7z",32149937,"44ecf56fc285ae58a5c93fbb6ddda220"
"CAGED/2014/CAGEDEST_102014.7z",30193586,"d497445929e9dc6605d6b392d1ff2336"
"CAGED/2014/CAGEDEST_112014.7z",30514993,"cc62dedf8a85fd555827bd1eeea7fc89"
"CAGED/2015/CAGEDEST_012015.7z",31280333,"5db40e88d1ba115e3b81d284ec732bf4"
"CAGED/2015/CAGEDEST_022015.7z",31550620,"11b0d439a871722b5ae5e4d96e06505f"
"CAGED/2015/CAGEDEST_032015.7z",32704022,"3cc650067cc5ff332aa672b697852e63"
"CAGED/2015/CAGEDEST_042015.7z",30190938,"3034fee780550e0108751e6a336d85dd"
"CAGED/2015/CAGEDEST_052015.7z",29362012,"dcd253f5c183c373baecce7cefaad6d6"
"CAGED/2015/CAGEDEST_062015.7z",29373959,"3f2712f2aa09f0c7fb07e71c78ecf7a2"
"CAGED/2015/CAGEDEST_072015.7z",26399324,"2fa6da44159a7e1a5343541dd3ad199b"
"CAGED/2015/CAGEDEST_082015.7z",27936687,"af3c2f224435f03283a1a3250aee08fd"
"CAGED/2015/CAGEDEST_092015.7z",26745694,"621617ffc22a8881e3bfe153cbbf879b"
"CAGED/2015/CAGEDEST_102015.7z",24340724,"0adf8db40ea95833b2b8c919dcd14d57"
"CAGED/2015/CAGEDEST_112015.7z",24989313,"aae85b98e6508c53b9f78ed79a9caa95"
"CAGED/2015/CAGEDEST_122015.7z",24028348,"6c225ce265a330cae511979e030b0db4"
"CAGED/2016/CAGEDEST_012016.7z",24490041,"49b07fffab7402649145641138855da6"
"CAGED/2016/CAGEDEST_022016.7z",26642169,"01689b5bc663a28b19a283506f8bdae5"
"CAGED/2016/CAGEDEST_032016.7z",28875178,"9334a0fd200f7b697857a92735bf83ed"
"CAGED/2016/CAGEDEST_042016.7z",23997140,"5e60caa080556c417e4758c77e551344"
"CAGED/2016/CAGEDEST_052016.7z",25289926,"46c54bf69ebb8efa8b416831d5278b29"
"CAGED/2016/CAGEDEST_062016.7z",25505496,"d734d8ceb58b2f3366bd88783beef1d4"
"CAGED/2016/CAGEDEST_072016.7z",24625964,"7e46c90a41f8e8e87fc6979338c34471"
"CAGED/2016/CAGEDEST_082016.7z",24850612,"75d2ac19fac4b51f4fb5390f56e63f61"
"CAGED/2016/CAGEDEST_092016.7z",23577187,"a6a0b979500ed053cce97b3cbaa2d319"
"CAGED/2016/CAGEDEST_102016.7z",22516557,"480f8d62641baac55ab162a9d6d43694"
"CAGED/2016/CAGEDEST_112016.7z",22774508,"3f9c81918a77686b17eccd894ba4e603"
"CAGED/2016/CAGEDEST_122016.7z",21319564,"d427bbf7add7a75196f04296ea2be901"
"CAGED/2017/CAGEDEST_012017.7z",23144035,"80dd2ad59af14f6cf07a7dd0c13111b2"
"CAGED/2017/CAGEDEST_022017.7z",24239778,"21b4995d8be60c90b1b6024f70ffa691"
"CAGED/2017/CAGEDEST_032017.7z",26430625,"122b4534dec2a7fbe2a86fe0411888db"
"CAGED/2017/CAGEDEST_042017.7z",22683987,"85210efe332c095f6a49b307b4f1defa"
"CAGED/2017/CAGEDEST_052017.7z",24969392,"d6b263d178c0746d7f085430779279b1"
"CAGED/2017/CAGEDEST_062017.7z",24185002,"790abe34bc6803c85aa368696e494e3c"
"CAGED/2017/CAGEDEST_072017.7z",21042524,"3732c718cd43ad3315bcc499c5a318af"
"CAGED/2017/CAGEDEST_082017.7z",24527501,"c743c0dbbfd50dfa563be8f9976babc2"
"CAGED/2017/CAGEDEST_092017.7z",21269147,"5401716fc522c10c2fa3d388a5aec0e3"
"CAGED/2017/CAGEDEST_102017.7z",23293850,"4c89e80e0c912686053206b250648c4c"
